hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
2566,11113,4995,165134,0.1875868119014548,0.6606269012035445,0.1374103030952126,0.5527450837049492,0.07442004700557103,0.041135315111420614,neuralgcm,CHIRPS,5,10,annual
106,3102,287,180313,0.033042394014962596,0.7302798982188295,0.03032904148783977,0.12250623441396509,0.01745299442896936,0.002138100626740947,neuralgcm,CHIRPS,5,20,annual
38572,19740,19895,105601,0.6614761970091919,0.34027742145141704,0.4932039331517639,1.0026581149677596,0.3172440807799443,0.3180873520194986,fourcastnet,CHIRPS,7,1,annual
9336,19929,8849,145694,0.3190158892875449,0.48660984327742646,0.24494936243899879,0.6213907397915599,0.15921505048746518,0.09893475800835655,fourcastnet,CHIRPS,7,5,annual
1812,11840,3519,166637,0.13272780544975096,0.6601012943162634,0.10552676023528042,0.3904922355698799,0.07427315459610027,0.029003090181058497,fourcastnet,CHIRPS,7,10,annual
101,3078,510,180119,0.031770997168921046,0.8346972176759411,0.02737869341284901,0.19219880465555206,0.017295221100278552,0.0033241208217270196,fourcastnet,CHIRPS,7,20,annual
47649,10663,27427,98069,0.8171388393469612,0.36532313921892484,0.5557447602607914,1.287487995609823,0.3172440807799443,0.40844794568245124,gencast,CHIRPS,7,1,annual
16343,12922,16313,138230,0.5584486588074492,0.4995406663400294,0.3585721181271666,1.1158722022894243,0.15921505048746518,0.17766364902506965,gencast,CHIRPS,7,5,annual
3821,9831,7610,162546,0.27988573102842074,0.6657335316245298,0.17971028125293953,0.8373132141810724,0.07427315459610027,0.06218989380222841,gencast,CHIRPS,7,10,annual
201,2978,1012,179617,0.06322743000943692,0.8342951360263808,0.047959914101646385,0.3815665303554577,0.017295221100278552,0.006599277506963788,gencast,CHIRPS,7,20,annual
48240,10072,57548,67948,0.8272739744820963,0.5439936476727039,0.41636457793889176,1.814172040060365,0.3172440807799443,0.5755353412256268,graphcast,CHIRPS,7,1,annual
11542,17723,25228,129315,0.3943960362207415,0.6861028011966277,0.21180702108527702,1.2564496839227746,0.15921505048746518,0.20004569986072424,graphcast,CHIRPS,7,5,annual
