model,obs,lead_day,threshold_mm_day,forecast_probability,observed_frequency,count,abs_calibration_gap,weighted_abs_gap,ece
gencast,ERA5,1,1,0.0,0.0424553003665744,26734,0.0424553003665744,0.01762422360248447,0.06115217391304348
gencast,ERA5,1,1,0.1,0.21241554054054054,4736,0.11241554054054054,0.008267080745341614,0.06115217391304348
gencast,ERA5,1,1,0.2,0.3718726307808946,2638,0.1718726307808946,0.007040372670807453,0.06115217391304348
gencast,ERA5,1,1,0.3,0.4597861459786146,2151,0.15978614597861462,0.005336956521739131,0.06115217391304348
gencast,ERA5,1,1,0.4,0.5366098294884654,1994,0.13660982948846534,0.004229813664596272,0.06115217391304348
gencast,ERA5,1,1,0.5,0.6655328798185941,1764,0.1655328798185941,0.004534161490683229,0.06115217391304348
gencast,ERA5,1,1,0.6,0.7014577259475219,1715,0.10145772594752189,0.0027018633540372675,0.06115217391304348
gencast,ERA5,1,1,0.7,0.7734330074755607,1739,0.0734330074755607,0.001982919254658386,0.06115217391304348
gencast,ERA5,1,1,0.8,0.7994402985074627,2144,0.0005597014925373678,1.8633540372672616e-05,0.06115217391304348
gencast,ERA5,1,1,0.9,0.8752310536044362,3246,0.024768946395563818,0.0012484472049689465,0.06115217391304348
gencast,ERA5,1,1,1.0,0.9661496878821031,15539,0.03385031211789691,0.008167701863354039,0.06115217391304348
gencast,ERA5,1,5,0.0,0.025740974021343854,42073,0.025740974021343854,0.016816770186335404,0.045072981366459625
gencast,ERA5,1,5,0.1,0.20253164556962025,3792,0.10253164556962024,0.006037267080745341,0.045072981366459625
gencast,ERA5,1,5,0.2,0.2991566799822459,2253,0.09915667998224587,0.0034689440993788813,0.045072981366459625
gencast,ERA5,1,5,0.3,0.4079909960607766,1777,0.10799099606077661,0.002979813664596274,0.045072981366459625
gencast,ERA5,1,5,0.4,0.4572347266881029,1555,0.057234726688102866,0.0013819875776397508,0.045072981366459625
gencast,ERA5,1,5,0.5,0.5413165266106442,1428,0.04131652661064422,0.0009161490683229805,0.045072981366459625
gencast,ERA5,1,5,0.6,0.5914454277286135,1356,0.008554572271386451,0.00018012422360248493,0.045072981366459625
gencast,ERA5,1,5,0.7,0.6741312741312742,1295,0.025868725868725795,0.0005201863354037251,0.045072981366459625
gencast,ERA5,1,5,0.8,0.6941508104298802,1419,0.1058491895701198,0.002332298136645963,0.045072981366459625
gencast,ERA5,1,5,0.9,0.7790762381747357,1797,0.12092376182526432,0.0033742236024844716,0.045072981366459625
gencast,ERA5,1,5,1.0,0.9195402298850575,5655,0.08045977011494254,0.007065217391304349,0.045072981366459625
gencast,ERA5,1,10,0.0,0.018056922489806577,49787,0.018056922489806577,0.013959627329192547,0.03268788819875776
gencast,ERA5,1,10,0.1,0.15597147950089127,3366,0.055971479500891264,0.0029254658385093166,0.03268788819875776
gencast,ERA5,1,10,0.2,0.24463069669984286,1909,0.04463069669984285,0.0013229813664596274,0.03268788819875776
gencast,ERA5,1,10,0.3,0.31446059678653404,1307,0.014460596786534052,0.00029347826086956533,0.03268788819875776
gencast,ERA5,1,10,0.4,0.3917525773195876,1067,0.008247422680412397,0.0001366459627329197,0.03268788819875776
gencast,ERA5,1,10,0.5,0.4544502617801047,955,0.045549738219895275,0.0006754658385093165,0.03268788819875776
gencast,ERA5,1,10,0.6,0.4870530209617756,811,0.11294697903822437,0.0014223602484472046,0.03268788819875776
gencast,ERA5,1,10,0.7,0.5790155440414507,772,0.12098445595854923,0.0014503105590062113,0.03268788819875776
gencast,ERA5,1,10,0.8,0.6100917431192661,872,0.18990825688073398,0.0025714285714285717,0.03268788819875776
gencast,ERA5,1,10,0.9,0.7126099706744868,1023,0.18739002932551319,0.002976708074534161,0.03268788819875776
gencast,ERA5,1,10,1.0,0.8739628605294351,2531,0.12603713947056494,0.004953416149068321,0.03268788819875776
gencast,ERA5,1,20,0.0,0.007714310479327382,57685,0.007714310479327382,0.006909937888198758,0.016209627329192546
gencast,ERA5,1,20,0.1,0.1087866108786611,2151,0.008786610878661089,0.0002934782608695653,0.016209627329192546
