hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day
25221,2858,12602,23719,0.8982157484240891,0.33318351267747137,0.619970010570045,1.3470209053028954,0.43600931677018634,0.5873136645962733,neuralgcm,ERA5,5,1
8771,4726,6714,44189,0.6498481143957917,0.43358088472715534,0.43397159962396714,1.1472919908127732,0.20958074534161492,0.2404503105590062,neuralgcm,ERA5,5,5
2692,4435,3015,54258,0.3777185351480286,0.5282985806903803,0.2654308814829422,0.8007576820541602,0.11066770186335403,0.08861801242236025,neuralgcm,ERA5,5,10
400,2047,742,61211,0.1634654679199019,0.649737302977233,0.12543116964565695,0.46669391091132,0.037996894409937886,0.017732919254658384,neuralgcm,ERA5,5,20
20558,7389,5698,30755,0.735606684080581,0.21701706276660573,0.611026898499034,0.9394926110137045,0.4339596273291925,0.40770186335403724,fourcastnet,ERA5,7,1
6047,7365,3267,47721,0.4508648971070683,0.350762293321881,0.36255171173331735,0.6944527288994929,0.2082608695652174,0.1446273291925466,fourcastnet,ERA5,7,5
2037,5092,1836,55435,0.28573432458970405,0.4740511231603408,0.22721695482431678,0.5432739514658438,0.11069875776397516,0.06013975155279503,fourcastnet,ERA5,7,10
320,2133,501,61446,0.1304525071341215,0.610231425091352,0.1083276912660799,0.33469221361598045,0.03809006211180124,0.012748447204968944,fourcastnet,ERA5,7,20
25102,2845,8934,27519,0.8982001645972734,0.26248677870490067,0.680621458203411,1.217876695173006,0.4339596273291925,0.5285093167701863,gencast,ERA5,7,1
9423,3989,5780,45208,0.7025797793021175,0.38018812076563835,0.49098582742809505,1.1335371309275275,0.2082608695652174,0.23607142857142857,gencast,ERA5,7,5
3332,3797,2713,54558,0.46738673025669797,0.4488006617038875,0.3385490753911807,0.8479450133258521,0.11069875776397516,0.09386645962732919,gencast,ERA5,7,10
655,1798,917,61030,0.2670199755401549,0.5833333333333334,0.1943620178041543,0.6408479412963718,0.03809006211180124,0.024409937888198757,gencast,ERA5,7,20
25027,2920,21925,14528,0.895516513400365,0.46696626341795877,0.5018246711581649,1.680037213296597,0.4339596273291925,0.7290683229813665,graphcast,ERA5,7,1
6465,6947,12970,38018,0.48203101699970174,0.6673527141754566,0.24505344553104388,1.449075454816582,0.2082608695652174,0.30178571428571427,graphcast,ERA5,7,5
1381,5748,5475,51796,0.19371580866881752,0.7985705950991832,0.10956839098698826,0.9617057090756067,0.11069875776397516,0.10645962732919255,graphcast,ERA5,7,10
80,2373,591,61356,0.03261312678353037,0.8807749627421758,0.026281208935611037,0.273542600896861,0.03809006211180124,0.010419254658385094,graphcast,ERA5,7,20
25679,2268,14517,21936,0.918846387805489,0.36115533883968554,0.604724001507159,1.4382939134790853,0.4339596273291925,0.6241614906832298,neuralgcm,ERA5,7,1
9255,4157,8003,42985,0.6900536832687146,0.4637269672036157,0.4321737100163437,1.2867581270504027,0.2082608695652174,0.26798136645962733,neuralgcm,ERA5,7,5
2859,4270,3345,53926,0.40103801374666853,0.5391682785299806,0.2729616192476609,0.8702482816664329,0.11069875776397516,0.09633540372670807,neuralgcm,ERA5,7,10
455,1998,536,61411,0.185487158581329,0.5408678102926338,0.1522248243559719,0.4039951080309825,0.03809006211180124,0.015388198757763975,neuralgcm,ERA5,7,20
